state,year,quarter,total_transactions,amount_millions
haryana,2022,2,234699962,395234.04
haryana,2022,3,269361810,428054.49
haryana,2022,4,296648365,490490.66
haryana,2023,1,381318464,591150.62
haryana,2023,2,457536190,661742.13
haryana,2023,3,501519478,677491.98
haryana,2023,4,554748233,782270.48
haryana,2024,1,604293500,806788.22
haryana,2024,2,738553925,905444.6
haryana,2024,3,794940220,923206.68
haryana,2024,4,841394290,1031959.36
himachal-pradesh,2018,1,481918,628.74
himachal-pradesh,2018,2,687695,1183.17
himachal-pradesh,2018,3,886754,1754.04
himachal-pradesh,2018,4,1307883,2621.3
himachal-pradesh,2019,1,2168718,3381.48
himachal-pradesh,2019,2,2502306,4875.88
himachal-pradesh,2019,3,2735180,5572.02
himachal-pradesh,2019,4,3516646,7271.16
himachal-pradesh,2020,1,4144480,7419.47
himachal-pradesh,2020,2,4695730,8036.9
himachal-pradesh,2020,3,5489876,10516.05
himachal-pradesh,2020,4,7272328,13989.05
himachal-pradesh,2021,1,7614029,14120.55
himachal-pradesh,2021,2,9483902,16495.63
himachal-pradesh,2021,3,12064167,21310.26
himachal-pradesh,2021,4,14666864,26136.22
himachal-pradesh,2022,1,16088180,26518.45
himachal-pradesh,2022,2,21291371,33709.11
himachal-pradesh,2022,3,25164868,37380.78
himachal-pradesh,2022,4,28555136,41779.34
himachal-pradesh,2023,1,27301726,37740.95
himachal-pradesh,2023,2,35061595,46875.06
himachal-pradesh,2023,3,33337054,41854.57
himachal-pradesh,2023,4,38651839,48280.25
himachal-pradesh,2024,1,39520561,47884.23
himachal-pradesh,2024,2,52583801,59849.74
himachal-pradesh,2024,3,49737549,56615.94
himachal-pradesh,2024,4,53798398,63737
jammu-&-kashmir,2018,1,941568,1005.37
jammu-&-kashmir,2018,2,1796326,2651.21
jammu-&-kashmir,2018,3,2303961,3934.7
jammu-&-kashmir,2018,4,2721310,5664.72
jammu-&-kashmir,2019,1,3584987,5951.84
jammu-&-kashmir,2019,2,2296355,6100.14
jammu-&-kashmir,2019,3,1116526,3744.23
jammu-&-kashmir,2019,4,489928,1929.7
jammu-&-kashmir,2020,1,921630,2937.64
jammu-&-kashmir,2020,2,2635006,8265.65
jammu-&-kashmir,2020,3,3465898,11977.23
jammu-&-kashmir,2020,4,5754444,15380.91
jammu-&-kashmir,2021,1,6997570,17138.35
jammu-&-kashmir,2021,2,10027819,22813.76
jammu-&-kashmir,2021,3,13151041,31598.44
jammu-&-kashmir,2021,4,16790628,38926.24
jammu-&-kashmir,2022,1,16245311,33147.86
jammu-&-kashmir,2022,2,23813747,46254.29
jammu-&-kashmir,2022,3,22534394,40963.55
jammu-&-kashmir,2022,4,27316158,44315.3
jammu-&-kashmir,2023,1,38927244,55921.75
jammu-&-kashmir,2023,2,54588299,76530.01
jammu-&-kashmir,2023,3,63903579,86016.15
jammu-&-kashmir,2023,4,69167132,93070.14
jammu-&-kashmir,2024,1,75116355,93960.93
jammu-&-kashmir,2024,2,108179014,129061.76
jammu-&-kashmir,2024,3,119555288,144470.35
jammu-&-kashmir,2024,4,126261217,160950.98
jharkhand,2018,1,2178921,2374.19
jharkhand,2018,2,3152080,4721.58
jharkhand,2018,3,8122621,8661.57
jharkhand,2018,4,6284043,10241.92
jharkhand,2019,1,9387708,13627.24
jharkhand,2019,2,10128211,18622.7
jharkhand,2019,3,14220647,21465.97
jharkhand,2019,4,18248618,28147.75
jharkhand,2020,1,18282713,33611.23
jharkhand,2020,2,20141511,37486.2
jharkhand,2020,3,27068473,50622.62
jharkhand,2020,4,39431633,72805.17
jharkhand,2021,1,44621663,83749.35
jharkhand,2021,2,54002145,104432.64
jharkhand,2021,3,70795702,121891.02
jharkhand,2021,4,96009042,166017.12
jharkhand,2022,1,110911210,194700.21
jharkhand,2022,2,132925275,225636.23
jharkhand,2022,3,146815332,229412.88
jharkhand,2022,4,175300092,277971.74
jharkhand,2023,1,240458103,367371.34
jharkhand,2023,2,289233893,422214.73
jharkhand,2023,3,318237426,418384.42
jharkhand,2023,4,374538362,498720.1
jharkhand,2024,1,426759095,559720.24
jharkhand,2024,2,499685871,620115.92
jharkhand,2024,3,522575883,609909.54
jharkhand,2024,4,586904686,704010.5
karnataka,2018,1,12016899,19217.9
karnataka,2018,2,17116447,33515.58
karnataka,2018,3,25980261,48225.09
karnataka,2018,4,44812071,73008.39
karnataka,2019,1,86587609,117976.38
karnataka,2019,2,115401604,163702.02
karnataka,2019,3,170733735,214536.72
karnataka,2019,4,237796252,295047.14
karnataka,2020,1,271033890,353402.05
karnataka,2020,2,213221712,321104.88
karnataka,2020,3,300360531,470740.52
karnataka,2020,4,431536984,658036.7
karnataka,2021,1,523797492,754995.36
karnataka,2021,2,530649046,837887.15
karnataka,2021,3,753296539,1133234.74
karnataka,2021,4,931725438,1375471.32
karnataka,2022,1,1057855407,1566649.49
karnataka,2022,2,1277448960,1867146.11
karnataka,2022,3,1189761328,1665918.23
karnataka,2022,4,1378910371,1904516.62
karnataka,2023,1,1844697189,2470227.23
karnataka,2023,2,2067867526,2777599.1
karnataka,2023,3,2369262302,2985880.9
karnataka,2023,4,2564434164,3241376.42
karnataka,2024,1,2796439155,3485248.65
karnataka,2024,2,3042012848,3785034.7
karnataka,2024,3,3261134095,3907202.57
karnataka,2024,4,3455056424,4151819.8
kerala,2018,1,1771380,2402.67
kerala,2018,2,2308165,3886.92
kerala,2018,3,3134348,5323.03
kerala,2018,4,4310654,7747.36
kerala,2019,1,6469039,10235.03
kerala,2019,2,7283826,13031.37
kerala,2019,3,9286096,16429.81
kerala,2019,4,12498637,21151.33
kerala,2020,1,15733522,26451.08
kerala,2020,2,16287967,25894.08
kerala,2020,3,21758680,40164.15
kerala,2020,4,33288187,56755.26
kerala,2021,1,42316342,69260.97
kerala,2021,2,47191033,74226.81
kerala,2021,3,63028266,101686.16
kerala,2021,4,81823741,123342.14
kerala,2022,1,95280965,139988.94
kerala,2022,2,106365322,154696.33
kerala,2022,3,119362904,162260.42
kerala,2022,4,132960468,173559.81
kerala,2023,1,147621565,193637.09
kerala,2023,2,156170617,207796.67
kerala,2023,3,170658651,220332.61
kerala,2023,4,179843093,224985.32
kerala,2024,1,181463966,227077.97
kerala,2024,2,194872467,242003.82
kerala,2024,3,214695458,258302.03
kerala,2024,4,233112441,273639.97
ladakh,2018,1,6089,12.53
ladakh,2018,2,15010,47.33
ladakh,2018,3,24864,84.09
ladakh,2018,4,35211,135.52
ladakh,2019,1,46145,152.86
ladakh,2019,2,68772,259.26
ladakh,2019,3,92396,331.13
ladakh,2019,4,84706,324.69
ladakh,2020,1,116419,377.64
ladakh,2020,2,155010,523.79
ladakh,2020,3,228222,835.49
ladakh,2020,4,332134,1111.96
ladakh,2021,1,275415,983.42
ladakh,2021,2,399716,1427.26
ladakh,2021,3,590987,2213.98
ladakh,2021,4,630187,2153.54
ladakh,2022,1,630015,2025.04
ladakh,2022,2,1118073,3543.32
ladakh,2022,3,1190858,3605.2
ladakh,2022,4,1083372,2894.48
ladakh,2023,1,1567246,3849.02
ladakh,2023,2,2943815,7191.1
ladakh,2023,3,3621366,8250.57
ladakh,2023,4,3150218,6942.99
ladakh,2024,1,2987101,6085.39
ladakh,2024,2,5327359,10125.72
ladakh,2024,3,6913885,12652.87
ladakh,2024,4,5711284,10854.42
lakshadweep,2018,1,778,1.93
lakshadweep,2018,2,2132,6.19
lakshadweep,2018,3,1703,4.34
lakshadweep,2018,4,1642,4.46
lakshadweep,2019,1,2481,8.79
lakshadweep,2019,2,2926,9.24
lakshadweep,2019,3,3104,9.65
lakshadweep,2019,4,3765,11.27
lakshadweep,2020,1,5151,13.5
lakshadweep,2020,2,7220,16.94
lakshadweep,2020,3,8589,21.31
lakshadweep,2020,4,11650,30.11
lakshadweep,2021,1,9085,27.04
lakshadweep,2021,2,11384,27.38
lakshadweep,2021,3,13370,38.8
lakshadweep,2021,4,15470,51
lakshadweep,2022,1,16397,54.94
lakshadweep,2022,2,17569,55.93
lakshadweep,2022,3,15241,47.58
lakshadweep,2022,4,17147,54.81
lakshadweep,2023,1,29520,85.32
lakshadweep,2023,2,34918,97.99
lakshadweep,2023,3,43757,94.53
lakshadweep,2023,4,63479,119.83
lakshadweep,2024,1,81176,130.05
lakshadweep,2024,2,109085,146.21
lakshadweep,2024,3,157478,192.41
lakshadweep,2024,4,197777,247.76
madhya-pradesh,2018,1,8025395,8681.6
madhya-pradesh,2018,2,10561412,15924.08
madhya-pradesh,2018,3,17126985,24149.74
madhya-pradesh,2018,4,21397555,33905.61
madhya-pradesh,2019,1,37301049,48070.28
madhya-pradesh,2019,2,40846013,68334.57
madhya-pradesh,2019,3,53610411,77676.32
madhya-pradesh,2019,4,68131989,104687.93
madhya-pradesh,2020,1,79366746,126737.28
madhya-pradesh,2020,2,76340573,147922.02
madhya-pradesh,2020,3,108579881,205701.68
madhya-pradesh,2020,4,153652541,284275.14
madhya-pradesh,2021,1,201998498,343533.95
madhya-pradesh,2021,2,223314680,425500.77
madhya-pradesh,2021,3,311443334,504412.6
madhya-pradesh,2021,4,404308084,656887.49
madhya-pradesh,2022,1,472703058,747665.14
madhya-pradesh,2022,2,544899829,867024.74
madhya-pradesh,2022,3,731259559,1032908.49
madhya-pradesh,2022,4,898828268,1302999.86
madhya-pradesh,2023,1,734566970,1062026.6
madhya-pradesh,2023,2,848037060,1202440.95
