year,quarter,state,total_amount
2019,2,andhra-pradesh,118215399533.87862
2019,2,rajasthan,104041462640.47824
2019,2,uttar-pradesh,87900413049.69943
2019,2,tamil-nadu,73583489374.7084
2019,2,madhya-pradesh,71062199543.24739
2019,2,bihar,67199585541.48878
2019,2,west-bengal,64286863221.777054
2019,2,gujarat,61540826133.589554
2019,2,odisha,50735977637.44753
2019,2,haryana,44459969303.93078
2019,2,punjab,23724336600.079414
2019,2,jharkhand,21307181404.605648
2019,2,chhattisgarh,20430795485.227516
2019,2,kerala,15882378589.972412
2019,2,assam,12436939065.530485
2019,2,uttarakhand,12127540253.776167
2019,2,jammu-&-kashmir,8085694928.776025
2019,2,himachal-pradesh,7237744746.816405
2019,2,chandigarh,4997948227.783352
2019,2,goa,2370892771.1748977
2019,2,puducherry,2135998477.9151928
2019,2,dadra-&-nagar-haveli-&-daman-&-diu,1648882553.1301417
2019,2,sikkim,1383801080.776218
2019,2,tripura,1164608465.9506118
2019,2,arunachal-pradesh,1109354375.1250393
2019,2,manipur,1046038613.5676206
2019,2,nagaland,866429820.4358237
2019,2,meghalaya,786343808.9317228
2019,2,ladakh,506423305.02687544
2019,2,mizoram,419704634.42276084
2019,2,andaman-&-nicobar-islands,228593542.8019161
2019,2,lakshadweep,18485048.27397778
2019,3,karnataka,266252344520.16837
2019,3,telangana,262637188470.4322
2019,3,maharashtra,234743285069.41904
2019,3,delhi,161017373058.11975
2019,3,andhra-pradesh,146975247214.07413
2019,3,rajasthan,131701087982.31061
2019,3,uttar-pradesh,102099588550.20592
2019,3,tamil-nadu,89026664890.07253
2019,3,madhya-pradesh,79623711508.9443
2019,3,west-bengal,79104731302.68127
2019,3,bihar,73655768423.59459
2019,3,gujarat,71400624994.8709
2019,3,odisha,66491338213.28408
2019,3,haryana,54604818167.45746
2019,3,punjab,29287418871.29003
2019,3,jharkhand,24897623440.077946
2019,3,chhattisgarh,24011407722.173595
2019,3,kerala,19699815342.80041
2019,3,assam,14635650233.32559
2019,3,uttarakhand,14003876325.039022
2019,3,himachal-pradesh,8162862516.432614
2019,3,chandigarh,6046933308.355433
2019,3,jammu-&-kashmir,5148957984.593679
2019,3,goa,2994259334.5298333
2019,3,puducherry,2556667352.826789
2019,3,dadra-&-nagar-haveli-&-daman-&-diu,1922942947.6967437
2019,3,sikkim,1658329555.1895056
2019,3,tripura,1398288747.1882837
2019,3,arunachal-pradesh,1348823685.42171
2019,3,manipur,1264171218.7515447
2019,3,nagaland,1068092317.5843235
2019,3,meghalaya,980771518.9837137
2019,3,ladakh,649697141.3822837
2019,3,mizoram,472352209.25002474
2019,3,andaman-&-nicobar-islands,212059815.77048722
2019,3,lakshadweep,19303522.92753694
2019,4,karnataka,358035824325.0407
2019,4,telangana,356575350276.4004
2019,4,maharashtra,317920187790.2572
2019,4,andhra-pradesh,210589210278.59708
2019,4,delhi,202287412978.18347
2019,4,rajasthan,185465737355.2779
2019,4,uttar-pradesh,126771548089.49768
2019,4,tamil-nadu,117067114731.38503
2019,4,madhya-pradesh,103361434313.9244
2019,4,bihar,97031932261.20705
2019,4,west-bengal,94643122205.08942
2019,4,gujarat,91342992567.75029
2019,4,odisha,89338287123.90475
2019,4,haryana,71033407900.35301
2019,4,punjab,38240648018.7233
2019,4,chhattisgarh,33193073965.26876
2019,4,jharkhand,31759329689.422924
2019,4,kerala,24882509521.94944
2019,4,uttarakhand,18247639003.51845
2019,4,assam,17306480644.5851
2019,4,himachal-pradesh,10614215574.41442
2019,4,chandigarh,7714497468.461383
2019,4,goa,4380448083.576655
2019,4,puducherry,3358360796.6567245
2019,4,jammu-&-kashmir,3144497293.5205874
2019,4,dadra-&-nagar-haveli-&-daman-&-diu,2453282524.0220795
2019,4,sikkim,2189609260.452697
2019,4,manipur,1789185893.5362906
2019,4,arunachal-pradesh,1720656099.7387042
2019,4,tripura,1694921084.4163053
2019,4,nagaland,1356874162.0024397
2019,4,meghalaya,1187443407.685734
2019,4,ladakh,640240829.980201
2019,4,mizoram,616422688.9427863
2019,4,andaman-&-nicobar-islands,255899916.9790031
2019,4,lakshadweep,22539826.809847705
2020,1,telangana,491892711157.8321
2020,1,karnataka,422229142629.4913
2020,1,maharashtra,363947080014.9217
2020,1,andhra-pradesh,257305013588.24612
2020,1,rajasthan,221873941870.34558
2020,1,delhi,208810072180.79456
2020,1,uttar-pradesh,148362818569.10995
2020,1,tamil-nadu,132814241945.64287
2020,1,madhya-pradesh,127864787830.30495
2020,1,bihar,110534945335.34943
2020,1,west-bengal,107113156684.81938
2020,1,gujarat,104183195000.1871
2020,1,odisha,102482340536.4432
2020,1,haryana,87485926210.7037
2020,1,chhattisgarh,41013452089.061195
2020,1,punjab,38910355713.75505
2020,1,jharkhand,38213677757.59066
2020,1,kerala,32827817460.447052
2020,1,uttarakhand,24722942102.453365
2020,1,assam,23996777273.937737
2020,1,himachal-pradesh,10984586530.107538
2020,1,chandigarh,9638650568.474596
2020,1,goa,5232035781.256167
2020,1,manipur,4493112572.97715
2020,1,jammu-&-kashmir,3946280011.9277
2020,1,puducherry,3828709277.2836914
2020,1,dadra-&-nagar-haveli-&-daman-&-diu,2685526738.5850353
2020,1,tripura,2273351674.2351036
2020,1,arunachal-pradesh,1962615319.2038374
2020,1,sikkim,1935839298.8677673
2020,1,meghalaya,1891571689.2991042
2020,1,nagaland,1461543455.419729
2020,1,ladakh,729826231.5083767
2020,1,mizoram,646032040.5138366
2020,1,andaman-&-nicobar-islands,302897269.6790481
2020,1,lakshadweep,27004737.149008412
2020,2,telangana,379943319044.42676
2020,2,karnataka,344164186864.05853
2020,2,maharashtra,305866394948.91907
2020,2,andhra-pradesh,298313487293.0613
2020,2,rajasthan,207708354849.2526
2020,2,delhi,167190248564.93225
2020,2,madhya-pradesh,132771934869.04303
2020,2,uttar-pradesh,129596354596.98283
2020,2,bihar,114884415822.93404
2020,2,west-bengal,104035220572.09332
