state,year,quarter,transaction_type,transaction_count,transaction_amount
arunachal-pradesh,2019,2,"Peer-to-peer payments",106527,704237943.4054435
arunachal-pradesh,2019,2,"Merchant payments",16828,13955724.130712911
arunachal-pradesh,2019,2,"Financial Services",267,160660.8821362781
arunachal-pradesh,2019,2,Others,3046,3880742.524023137
arunachal-pradesh,2019,3,"Recharge & bill payments",216228,50946104.94289842
arunachal-pradesh,2019,3,"Peer-to-peer payments",133484,841037395.2474606
arunachal-pradesh,2019,3,"Merchant payments",16900,17178248.07427002
arunachal-pradesh,2019,3,"Financial Services",864,64089.11350267195
arunachal-pradesh,2019,3,Others,2758,3419197.4177385764
arunachal-pradesh,2019,4,"Recharge & bill payments",259183,63516906.09060433
arunachal-pradesh,2019,4,"Peer-to-peer payments",177833,1100137447.9340453
arunachal-pradesh,2019,4,"Merchant payments",19769,23192271.691576812
arunachal-pradesh,2019,4,"Financial Services",314,305379.7987782319
arunachal-pradesh,2019,4,Others,2376,3421174.01227797
arunachal-pradesh,2020,1,"Recharge & bill payments",329834,86011654.77474582
arunachal-pradesh,2020,1,"Peer-to-peer payments",203429,1263912288.4066367
arunachal-pradesh,2020,1,"Merchant payments",31181,28553052.133918796
arunachal-pradesh,2020,1,"Financial Services",470,337812.94816169393
arunachal-pradesh,2020,1,Others,2261,2943873.0666838237
arunachal-pradesh,2020,2,"Recharge & bill payments",522495,145198528.22961134
arunachal-pradesh,2020,2,"Peer-to-peer payments",247861,1630654426.0441835
arunachal-pradesh,2020,2,"Merchant payments",35169,46446966.612447515
arunachal-pradesh,2020,2,"Financial Services",1310,2655507.6964110374
arunachal-pradesh,2020,2,Others,1939,1761404.4023099935
arunachal-pradesh,2020,3,"Recharge & bill payments",514907,153463816.21184397
arunachal-pradesh,2020,3,"Peer-to-peer payments",370418,2361603431.37578
arunachal-pradesh,2020,3,"Merchant payments",72736,88145178.69272713
arunachal-pradesh,2020,3,"Financial Services",1761,4030599.9171272423
arunachal-pradesh,2020,3,Others,3005,2695539.3607389224
arunachal-pradesh,2020,4,"Peer-to-peer payments",522019,3254744938.4105625
arunachal-pradesh,2020,4,"Recharge & bill payments",513895,152389181.21743062
arunachal-pradesh,2020,4,"Merchant payments",167387,156682926.02384603
arunachal-pradesh,2020,4,"Financial Services",1749,2391651.8783250954
arunachal-pradesh,2020,4,Others,4079,4055324.315454754
arunachal-pradesh,2021,1,"Peer-to-peer payments",566209,3460488558.9436507
arunachal-pradesh,2021,1,"Recharge & bill payments",450649,142358376.9003836
arunachal-pradesh,2021,1,"Merchant payments",155966,204958020.0891498
arunachal-pradesh,2021,1,"Financial Services",1558,2672460.4740365944
arunachal-pradesh,2021,1,Others,3074,3301662.6094231335
arunachal-pradesh,2021,2,"Peer-to-peer payments",762946,4000960152.0755496
arunachal-pradesh,2021,2,"Recharge & bill payments",556680,165579844.25105897
arunachal-pradesh,2021,2,"Merchant payments",243375,283709438.5363142
arunachal-pradesh,2021,2,"Financial Services",1582,2761076.7934988844
arunachal-pradesh,2021,2,Others,3755,3415105.3379601175
arunachal-pradesh,2021,3,"Peer-to-peer payments",986088,5033603845.032885
arunachal-pradesh,2021,3,"Recharge & bill payments",600102,187390578.30403775
arunachal-pradesh,2021,3,"Merchant payments",314658,449869060.7842621
arunachal-pradesh,2021,3,"Financial Services",1934,3348547.8272713376
arunachal-pradesh,2021,3,Others,4185,3912143.3503634185
arunachal-pradesh,2021,4,"Peer-to-peer payments",1227616,6022733378.120082
arunachal-pradesh,2021,4,"Recharge & bill payments",633248,207784816.33218512
arunachal-pradesh,2021,4,"Merchant payments",521447,704195694.9939187
arunachal-pradesh,2021,4,"Financial Services",2386,3933557.2795471298
